|Date|Data Source|Model|Epochs|Batch Size|Learning Rate|Max Accuracy|Min Loss|Time (s)|Training Samples|Test Samples|
|2016-12-28 21:23:56.023956|data_greyscale_rotate|LeNet|11|256|0.001|0.9793|0.0483|89.6|94101|23526|
|2016-12-28 21:53:47.703829|data_greyscale_rotate|multiscale1|10|128|0.001|0.9791|0.0319|97.5|94101|23526|
|2016-12-28 13:27:49.883531|data_yuv_rotate|LeNet_dropout|14|256|0.001|0.9784|0.0775|174|94101|23526|
|2016-12-28 21:33:56.411145|data_greyscale_rotate|LeNet_dropout|12|128|0.001|0.9769|0.116|118|94101|23526|
|2016-12-29 06:28:43.131337|data_greyscale_rotate|inception2|9|256|0.001|0.9769|0.104|309|94101|23526|
|2016-12-28 13:09:19.425577|data_yuv_rotate|LeNet|17|384|0.0005|0.9768|0.034|195|94101|23526|
|2016-12-28 22:03:55.322411|data_greyscale_rotate|multiscale1|9|384|0.001|0.975|0.169|74|94101|23526|
|2016-12-28 21:55:16.964759|data_greyscale_rotate|multiscale1|9|128|0.0005|0.9746|0.0953|89.2|94101|23526|
|2016-12-28 22:00:27.958019|data_greyscale_rotate|multiscale1|11|256|0.0005|0.974|0.121|90.6|94101|23526|
|2016-12-28 13:42:16.280155|data_yuv_rotate|LeNet_dropout|18|384|0.001|0.9731|0.0887|212|94101|23526|
|2016-12-28 21:35:45.507734|data_greyscale_rotate|LeNet_dropout|11|128|0.0005|0.9727|0.0832|109|94101|23526|
|2016-12-28 12:56:33.040563|data_yuv_rotate|LeNet|8|256|0.001|0.9725|0.078|105|94101|23526|
|2016-12-28 21:18:46.960575|data_greyscale_rotate|LeNet|6|128|0.001|0.9722|0.0504|63.8|94101|23526|
|2016-12-28 13:15:34.011718|data_yuv_rotate|LeNet_dropout|11|128|0.001|0.972|0.135|160|94101|23526|
|2016-12-28 13:58:07.546892|data_yuv_rotate|multiscale1|12|128|0.0005|0.9716|0.0582|169|94101|23526|
|2016-12-28 14:57:56.938738|data_yuv_rotate|inception2|9|128|0.0005|0.9713|0.199|615|94101|23526|
|2016-12-28 21:46:31.610362|data_greyscale_rotate|LeNet_dropout|10|384|0.001|0.9713|0.194|82.1|94101|23526|
|2016-12-28 13:32:28.107745|data_yuv_rotate|LeNet_dropout|19|256|0.0005|0.9696|0.131|278|94101|23526|
|2016-12-28 21:39:51.500948|data_greyscale_rotate|LeNet_dropout|11|256|0.001|0.9687|0.14|93|94101|23526|
|2016-12-28 17:25:28.395542|data_yuv|LeNet_dropout|30|384|0.001|0.9677|0.0604|105|31367|7842|
